sem,Qns,Answer,Discussion,Team,Case Study,Trainer's Notes
Topic 1 Qn 242,242,D,"""Minimal operational overhead - Backup and DR service is a fully managed, turnkey solution
Protect against zonal failures - Backup and DR service allows backups to be stored natively across zones/regions
Retained for at least 90 days - A backup vault with a retention policy guarantees data cannot be deleted before 90 days,
Stored in a separate project with limited access - Backup vaults in the Backup and DR service can be centrally managed in a separate management/security project, separating duties cleanly. Access can be controlled using IAM

A is incorrect: Writing custom backup scripts introduces massive operational overhead
B is incorrect: relies on custom gcloud scripts (high overhead).Still need to export snapshots to regional Cloud Storage bucket using pipelines.
C is incorrect: Using a script to move and store them in a multi-regional bucket introduces custom code maintenance
Never pick the script option if a native managed service exists unless the managed service is overly expensive.""",1,,
Topic 1 Qn 243,243,BC,"B - memorystore for redis allows for cachign which reduces latency
C - cloud cdn allows for caching of static assets so they can be delivered to users quickly",1,,
Topic 1 Qn 244,244,B,"containerized + low overhead = cloud run, multi-region + write-heavy = spanner",1,,
Topic 1 Qn 245,245,C,Vertex AI + workbench for Jupyter,1,,
Topic 1 Qn 246,246,C,Most complete migration,1,,
Topic 1 Qn 247,247,C,"firewall rules and service accounts are what allow such granular traffic flow, the other options are incomplete or irrelevant",1,,
Topic 1 Qn 248,248,B,Transfer Appliance is GCloud's thing designed for petabyte-scale,1,,
Topic 1 Qn 249,249,D,"Question is asking for recovery & retention.
Option A still allows deletion at any time
Option B only serves as a backup
Option C serves more as an archive tool, file can still be modified or deleted by admin",2,,
Topic 1 Qn 250,250,A,"option A.
it uses google group, with the iam conditions easily set to expire the access on 1 nov automatically, and cloud audit logs can record which auditor's email address accessed the bucket. option b is wrong as it uses service accounts to generate signed urls, so it is not possible to trace who accessed it, option c is wrong because it overcomplicates the process by using custom code in cloud run when there is already a native feature doing the same thing with iam. option d is wrong because it uses a 1 month session duration so if the auditors do not access the bucket on 1 oct their access may spill over into november",2,,
Topic 1 Qn 251,251,D,"Automatically build and deploy app to cloud run securely and efficiently
Not A because Config Sync is not used to deploy to cloud run but instead GKE/Anthos
Not B keys should never be in source code
Not C as the credentials for deployment do not need to be stored
Answer is D, security is handled in the bg with OAuth, the deployment method is correct with build triggers",2,,
Topic 1 Qn 252,252,,"C > HSM protection: When you create a key with this level, the key material is physically generated inside and never leaves the boundaries of that hardware chip. Google completely manages the scale and uptime for you.
Not A because massive operational risks as your developers have to manually pass raw cryptographic string keys inside the header of every single API call they make to interact with data. 
Not B beause in SOFTWARE Protection Level means moving data out of HSM into a software tier, keys are now sitting in regular cloud software memory. 
Not D because now your infra team have to maintain the physical on-premises HSM hardware.
",2,,
Topic 1 Qn 253,253,C,"Key points in question are RTO less than 10 and RPO of 2 and protecting against full regional outage and low operational complexity.

A is incorrect as RPO 2 minutes
B is incorrect as DMS is for migrating databases to google cloud
D is incorrect as HA protects against zone failures within a single region. 

C is most appropriate as meet the questions key requirements as data has cross-region protection and option has low operational complexity as it is a straightfoward set up",2,,
Topic 1 Qn 254,254,B,"Eliminate static keys - service account impersonation. 
Proper governance - require manual approval before running terraform",2,,
Topic 1 Qn 255,255,A,C and D  Testing is done locally + Acceptance test should be executed before deploying to production,3,,
Topic 1 Qn 256,256,C,"Not A as config sync is used for consistency. It doesn't handle cloud resources like databases or storage buckets.
Not B because it’s too troublesome to create custom
Not D because high operational costs - goes against questions requirements",3,,
Topic 1 Qn 257,257,"B,D","Not A as the bottleneck is the use of only one region + doesn’t improve global latency
Not C as increasing machine size does not move the data closer to EU and asia
Not E as read replicas are for read queries, not for static assets + problem is static content not database queries",3,,
Topic 1 Qn 258,258,C,"A - moving the data to filestore is expensive(data duplication), Filestore is used for high frequency read and write operations.
B has more overhead operations as compared to directly mounting the Cloud Storage bucket 
D is wrong as downloading data for use has high latency, not acting like a local file system + high storage cost
",3,,
Topic 1 Qn 259,259,B,Attached persistent disks for data persistence and spot VMs can implement checkpoint mechanisms to save and resume data in case of interruptions. ,3,,
Topic 1 Qn 260,260,A,"B - does not separate the different departments + creates a unmanaged flat file structure
C - it is not Google best practice, and it will be hard to manage and track the company’s overall resources and billing 
D  -not google best practice. Will need to manually manage all projects for a given department instead of a single folder + hard to manage at scale
",3,,
Topic 1 Qn 261,261,D,GKE autopilot removes the need for managing on nodes and is fully managed by Google Cloud which allows the engineering team to focus on application development.,3,,
Topic 1 Qn 262,262,C,"Best option to reduce alert fatigue, and ensure that the notifications are critical only",4,,
Topic 1 Qn 263,263,,,4,,
Topic 1 Qn 264,264,D,"Config sync is Google's config management tool that allows you to define cluster configs & automatically sync it to all clusters (regardless if its GKE, EKS, or on-premises). Policy Controller is Google's implementation of OPA Gatekeeper, which allows enforcing policies across every cluster in the fleet. Option A wrong: Argo CD & OPA are viable, but avoid building custom infra, when managed services like Config Sync are available. Option B wrong: Crossplane, FluxCD, Kyverno are not Google recommended products. Option C wrong: Script to enforce security policies is wrong, too complex and manual.",4,,
Topic 1 Qn 265,265,BC,Google-maintained base images (secure) and artifact analysis is the tool for stopping deployment when vulnerabilities are found,4,,
Topic 1 Qn 266,266,C,"Google Cloud centralizes its official third-party audit reports, certifications, and compliance documentation within the Compliance Reports Manager",4,,
Topic 1 Qn 267,267,A,"In an emergency, always use native tools to get immediate visibility rather than building custom solutions from scratch.",4,,
New Qn,268,D,"D is correct
(Utilize Infrastructure as Code (IaC) tools, such as Terraform, to define and manage infrastructure configurations.)

Keywords that lead to this answer: ""streamline the creation"", ""automate the provisioning and management"", and ""consistently configured"".

In GCP, Terraform is the gold standard for defining, provisioning, and managing cloud infrastructure through declarative configuration files. By utilizing Terraform modules, EHR Healthcare can build a standardized ""landing zone"" or environment template for new insurance providers. This ensures every environment is identical, auditable, and secure, while drastically cutting down on infrastructure administration costs.",NA,EHR,
New Qn,269,C,"C is correct
(Configure Workload Identity Federation with Active Directory to enable authentication and authorization for applications across both Kubernetes environments.)

Keywords that lead to this answer: ""unauthorized access... due to compromised credentials"", ""secure access between on-premises... and GKE"", and ""integrating with EHR's existing identity provider (Active Directory)"".

Workload Identity Federation is Google Cloud's recommended best practice for allowing external workloads (like on-premises apps) to access GCP resources securely without using long-lived Service Account keys.",NA,EHR,
New Qn,270,A,"A is correct
(Use the Database Migration Service (DMS) to migrate the MySQL databases to Cloud SQL)

Keywords that led to this answer: ""migrate the legacy relational database"", ""maintain the strict uptime requirements"" (99.9%), and ""limited in-house expertise"".

Database Migration Service (DMS) automates the replication and cutover process from on-premises MySQL to Cloud SQL",NA,EHR,
New Qn,271,B,"B is correct
(Utilize Storage Transfer Service (STS) to migrate objects to the destination bucket in the target region. Once the transfer is complete, delete the original source bucket objects.)

Keywords that led to this answer: ""migrate more than 2 TB"", ""interrupted, the operation must resume"", and ""copy only new or modified objects"".

Storage Transfer Service (STS) is Google Cloud's highly scalable, fully managed service for moving data into and across Cloud Storage buckets.
",NA,,
New Qn,272,B,"B is correct.
(Use the Google Cloud Migration Center to perform an automated discovery and assessment of the on-premises environment)

Keywords that led to this answer: ""detailed migration plan"", ""identify dependencies"", ""estimate the total cost of ownership (TCO)"", and ""minimal effort"".

Google Cloud Migration Center is a unified platform that assists in your migration journey from discovery to cost estimation
",NA,,
New Qn,273,A,"A is correct 
(Export your dashboard to a JSON file and share it with the Ops team)

Keywords that led to this answer: ""similar dashboard"", ""monitor the production environment"", and ""minimize time and effort"".

In Google Cloud Monitoring, every dashboard is backed by a structured JSON definition.",NA,,
New Qn,274,D,"D is correct. 
(Use dependency mapping to group application components into waves, create a phased migration plan, and incorporate performance testing for each wave)

Keywords that led to this answer: ""tightly coupled dependencies"", ""concerned about the risks associated with an 'all-at-once' migration"", and ""systematically addresses application dependencies"".

Google-recommended migration practices dictate discovering application topologies using tools like Migration Center to map dependencies",NA,,
New Qn,275,C,"C is correct
(Deploy the application as a Cloud Run service. Configure request-based auto-scaling and use gradual rollouts by splitting traffic between revisions)

Keywords that led to this answer: ""stateless"", ""containerized"", ""unpredictable flash sales"", ""sudden, massive spikes"", and ""safe, fast rollback"".

Cloud Run automatically treats every deployment as an immutable Revision. You can natively split traffic between revisions (e.g., 90% old / 10% new) for safe rollouts, and rolling back is as simple as routing 100% of traffic back to the previous revision via a single API call or toggle",NA,,
New Qn,276,A,"A is correct.
(Implement Cloud Trace by ensuring the traceparent header is propagated between microservice calls to link logs to a single trace)

Keywords that led to this answer: ""follow a single user request across all microservices"", ""logs are not correlated"", and ""must not require developers to manually add correlation logic"".

Cloud Trace is Google Cloud's native distributed tracing service designed precisely to track request paths through microservices",NA,,
New Qn,277,C,"C is correct.
(Create an owner project with shared reservations, and then configure the production project and development project as consumer projects to consume capacity)

Keywords that led to this answer: ""ensure that the GPU capacity is always available"", ""shift unused GPU capacity from production to development"", and ""follow Google-recommended practices"".

Google Cloud allows you to share reservations across up to 100 projects within the same organization. Google’s official architecture blueprint and best-practice guide explicitly recommend creating a dedicated, administrative ""Owner Project"" to host and manage the shared reservation without consuming any of the resources itself",NA,,
New Qn,278,C,"C is correct.
(Create a single regional managed instance group (MIG) configured to span all three zones. 
Place a regional external Application Load Balancer in front of the MIG, and configure its backend service with a health check)

Keywords that led to this answer: ""highly available and self-healing"", ""automatically recreate the lost capacity"", ""all provisioned compute resources actively serve traffic"", and ""automatically and seamlessly directed away"".

Placing an Application Load Balancer with a Health Check in front of this single MIG ensures that all instances across all zones actively process live traffic simultaneously",NA,,
New Qn,279,B,"B is correct
(Enable uniform bucket-level access on the buckets, and grant predefined Storage IAM roles to the Google Groups)

Keywords that led to this answer: ""Google Groups"", ""clear audit trails"", and ""simple to operate and scalable"".

Enforcing Uniform Bucket-Level Access disables legacy object-level ACLs entirely. This ensures that Cloud Storage relies exclusively on unified Google Cloud IAM policies.",NA,,
New Qn,280,B,"B is correct
(Create a Filestore Enterprise instance in the same region as the VMs. Mount the Filestore file share on each Compute Engine VM)

Keywords that led to this answer: ""fleet of hundreds of Compute Engine VMs"", ""concurrent, low-latency read and write"", and ""highest possible throughput"".

Filestore Enterprise is engineered precisely for business-critical, high-performance, and highly available concurrent workloads",NA,,
New Qn,281,B,"B is correct
(Use Service Catalog to define, govern, and offer a portfolio of approved products. Include Terraform scripts into Service Catalog items.)

Keywords that led to this answer: ""empowers these teams to deploy complete, pre-approved architectural patterns"", ""self-service manner"", and ""avoiding manual approval bottlenecks"".

Service Catalog allows an organization's central cloud platform/security team to curate, govern, and expose a customized menu of approved cloud applications and infrastructure templates to internal users",NA,,
,,,,,,
,,,,,,
 ,,,,,,
